iteration,step,policy_loss,value_loss,rolling5
161,31480,3.5286,1.5112,3.536680
162,31680,3.4773,1.4885,3.519520
163,31880,3.4978,1.4907,3.511100
164,32080,3.4695,1.5106,3.499900
165,32280,3.455,1.4963,3.485640
166,32480,3.43,1.5229,3.465920
167,32680,3.4311,1.5163,3.456680
168,32880,3.4331,1.4844,3.443740
169,33080,3.4093,1.5051,3.431700
170,33280,3.4037,1.5071,3.421440
171,33480,3.4741,1.4969,3.430260
172,33680,3.4701,1.4991,3.438060
173,33880,3.4589,1.4911,3.443220
174,34080,3.4471,1.469,3.450780
175,34280,3.4363,1.4747,3.457300
176,34480,3.4357,1.5065,3.449620
177,34680,3.3996,1.4605,3.435520
178,34880,3.417,1.4735,3.427140
179,35080,3.3907,1.4557,3.415860
180,35280,3.4462,1.48,3.417840
181,35480,3.4499,1.4637,3.420680
182,35680,3.4246,1.4965,3.425680
183,35880,3.4035,1.529,3.422980
184,36080,3.4065,1.484,3.426140
185,36280,3.4119,1.4867,3.419280
186,36480,3.4102,1.4975,3.411340
187,36680,3.3964,1.4849,3.405700
188,36880,3.3989,1.4672,3.404780
189,37080,3.3848,1.5095,3.400440
190,37280,3.4072,1.4853,3.399500
191,37480,3.3815,1.4799,3.393760
192,37680,3.3749,1.4715,3.389460
193,37880,3.3653,1.4811,3.382740
194,38080,3.379,1.4822,3.381580
195,38280,3.3723,1.5163,3.374600
196,38480,3.3512,1.5096,3.368540
197,38680,3.3158,1.5098,3.356720
198,38880,3.2964,1.509,3.342940
199,39080,3.2712,1.5112,3.321380
200,39280,3.2477,1.5172,3.296460
201,39480,3.2309,1.5029,3.272400
202,39680,3.2512,1.5365,3.259480
203,39880,3.2201,1.5099,3.244220
204,40080,3.2319,1.5194,3.236360
205,40280,3.2318,1.5249,3.233180
206,40480,3.2348,1.5472,3.233960
207,40680,3.2226,1.5208,3.228240
208,40880,3.1857,1.4888,3.221360
209,41080,3.1797,1.4817,3.210920
210,41280,3.1833,1.4923,3.201220
211,41480,3.1837,1.5048,3.191000
212,41680,3.1417,1.4455,3.174820
